iter	Logloss
0	0.6135841795
1	0.5459528939
2	0.4891626386
3	0.4496420827
4	0.4159494235
5	0.3910742653
6	0.368609179
7	0.3482882517
8	0.3336921696
9	0.3216121339
10	0.3128801411
11	0.3032737261
12	0.2953449749
13	0.2890572254
14	0.2843703049
15	0.2806229461
16	0.2772736174
17	0.2738865252
18	0.2709326324
19	0.268609316
20	0.2664909779
21	0.2644533225
22	0.2628936754
23	0.2615958761
24	0.2604850738
25	0.2595270189
26	0.2582680027
27	0.257210557
28	0.2565951154
29	0.2557203992
30	0.2552234392
31	0.2545843309
32	0.2539369932
33	0.2533764915
34	0.2529957732
35	0.2525628689
36	0.2521000228
37	0.2516097289
38	0.2512306208
39	0.2508213838
40	0.2505328122
41	0.2501872275
42	0.2499252632
43	0.2496490863
44	0.2493827481
45	0.2491759689
46	0.2489407988
47	0.2487171345
48	0.2484857377
49	0.248302267
50	0.2481216347
51	0.2478922623
52	0.2477084805
53	0.2476020734
54	0.2474228751
55	0.2472695636
56	0.2470888374
57	0.2469295902
58	0.246807206
59	0.2466653016
60	0.2465111954
61	0.246371807
62	0.2462671974
63	0.2461499065
64	0.2460262816
65	0.2459128946
66	0.2457755814
67	0.2456713991
68	0.245612342
69	0.2454987868
70	0.2454165471
71	0.2453210682
72	0.2452360615
73	0.2451330265
74	0.2450532989
75	0.2449741438
76	0.2448474372
77	0.2447233661
78	0.244646451
79	0.2445885598
80	0.2444856897
81	0.2444027067
82	0.2442842975
83	0.2441876665
84	0.2440947667
85	0.2439510514
86	0.2438867071
87	0.2437640928
88	0.2436891059
89	0.2436254815
90	0.2435373584
91	0.2434806396
92	0.2433714632
93	0.2433105361
94	0.2432161631
95	0.2431622107
96	0.2430920553
97	0.2430302393
98	0.2429574246
99	0.2428748736
100	0.2427656935
101	0.2426797288
102	0.2426185032
103	0.2425459563
104	0.242480392
105	0.2424291218
106	0.2423627966
107	0.2422995855
108	0.2422477724
109	0.2421576995
110	0.2421299619
111	0.2420559369
112	0.2420016884
113	0.241948388
114	0.2418714524
115	0.241838955
116	0.2417960592
117	0.2417530152
118	0.2416765916
119	0.2416133083
120	0.2415511126
121	0.2415006747
122	0.2414321555
123	0.2413640723
124	0.2412862875
125	0.2412451178
126	0.2411826092
127	0.241134263
128	0.2410719724
129	0.2410085494
130	0.2409681652
131	0.2408846018
132	0.2408464444
133	0.2407963962
134	0.240717699
135	0.2406854265
136	0.2406370852
137	0.2405911593
138	0.2405301676
139	0.2404771565
140	0.2404205702
141	0.2403754334
142	0.2403428105
143	0.2402915095
144	0.2402400203
145	0.2401840408
146	0.2401550878
147	0.240086649
148	0.2400452004
149	0.2399985212
150	0.2399338214
151	0.2398790687
152	0.2398370296
153	0.2397989425
154	0.2397241732
155	0.239694165
156	0.2396195325
157	0.2395431814
158	0.2395086549
159	0.2394375223
160	0.2393881827
161	0.2393461757
162	0.239281051
163	0.2392287181
164	0.2391879845
165	0.2391404058
166	0.2390897869
167	0.2390378341
168	0.2390009272
169	0.2389237757
170	0.2388906075
171	0.2388220521
172	0.2387763495
173	0.2387385505
174	0.238657691
175	0.2386285228
176	0.2385703891
177	0.2385286736
178	0.238466913
179	0.238419509
180	0.2383774081
181	0.2383324875
182	0.238268299
183	0.2382408263
184	0.238210247
185	0.2381795517
186	0.2381246691
187	0.2380820964
188	0.2380138236
189	0.2379597614
190	0.2379099828
191	0.2378311558
192	0.2377863411
193	0.2377207657
194	0.2376609406
195	0.2376030498
196	0.237554273
197	0.2375175676
198	0.237484842
199	0.2374784687
200	0.2374385661
201	0.237399598
202	0.2373444952
203	0.2372942166
204	0.2372420743
205	0.2371975685
206	0.2371641966
207	0.2371129083
208	0.2370488355
209	0.2369928844
210	0.2369626022
211	0.2369171725
212	0.2368750059
213	0.2368419445
214	0.23683544
215	0.2367905397
216	0.2367117078
217	0.236660446
218	0.2366182739
219	0.236568771
220	0.2365222154
221	0.2364641383
222	0.2364185365
223	0.2363776078
224	0.2363119739
225	0.2362677597
226	0.2362059378
227	0.2361945551
228	0.2361466119
229	0.2360773875
230	0.2360759702
231	0.2360169144
232	0.2359712299
233	0.2359435474
234	0.2359084114
235	0.2358786887
236	0.235819378
237	0.2357513245
238	0.2356882047
239	0.2356463796
240	0.2356066735
241	0.2355552719
242	0.2355139868
243	0.2354710298
244	0.235451699
245	0.235374511
246	0.2353382799
247	0.2352841003
248	0.2352449673
249	0.2352237959
250	0.2351827287
251	0.2351379085
252	0.2351077869
253	0.2350682503
254	0.2350131743
255	0.2350000513
256	0.2349379226
257	0.2349036872
258	0.2348672704
259	0.234836656
260	0.2348049559
261	0.2347591236
262	0.2347184683
263	0.2347041613
264	0.2346607299
265	0.2345937122
266	0.2345564242
267	0.234491137
268	0.2344640148
269	0.2344086519
270	0.234352615
271	0.2343186087
272	0.2342957289
273	0.2342605265
274	0.2342105131
275	0.2341523554
276	0.2340935262
277	0.2340615235
278	0.2340185559
279	0.233975212
280	0.2339250043
281	0.2339050492
282	0.2338590731
283	0.2338298375
284	0.2338084628
285	0.2337785216
286	0.2337290308
287	0.2337011399
288	0.2336642666
289	0.2335991659
290	0.2335770548
291	0.2335452519
292	0.2335059497
293	0.2334494195
294	0.2333862118
295	0.2333263289
296	0.2332717468
297	0.2332322684
298	0.2331714748
299	0.2331387344
300	0.2331024478
301	0.2330520202
302	0.2330013427
303	0.2329516234
304	0.2329155791
305	0.2328526339
306	0.2328159796
307	0.2327642768
308	0.2327321812
309	0.2326855983
310	0.2326369947
311	0.2325966338
312	0.2325535901
313	0.2324986909
314	0.2324524152
315	0.2323985589
316	0.2323584888
317	0.2322999924
318	0.232263399
319	0.2322185901
320	0.2321761399
321	0.2321375179
322	0.232103693
323	0.2320734803
324	0.2320312412
325	0.231981382
326	0.2319512287
327	0.2319160868
328	0.2318753887
329	0.2318631124
330	0.2318156448
331	0.2317713753
332	0.2317099333
333	0.2316732722
334	0.2316275158
335	0.2315828035
336	0.231536547
337	0.2315149758
338	0.2314941563
339	0.2314409218
340	0.231402468
341	0.2313594506
342	0.2313052077
343	0.231260635
344	0.2312257937
345	0.2311621047
346	0.2311048094
347	0.2310702119
348	0.2310609764
349	0.2310225832
350	0.2309781089
351	0.2309295191
352	0.230881052
353	0.2308486737
354	0.2308409606
355	0.2307685402
356	0.2307285549
357	0.2307061918
358	0.2306591838
359	0.230637142
360	0.2306029854
361	0.2305718284
362	0.2305277119
363	0.2304848387
364	0.2304451297
365	0.2304111014
366	0.2303684181
367	0.2303230895
368	0.2302771326
369	0.2302314363
370	0.2301917143
371	0.2301508525
372	0.2301141816
373	0.2300911873
374	0.2300431484
375	0.2300066501
376	0.2299639124
377	0.229927344
378	0.2299099697
379	0.229870909
380	0.2298652317
381	0.2298194434
382	0.2297724918
383	0.2297503941
384	0.2297218107
385	0.2297138273
386	0.2296888546
387	0.2296461698
388	0.2296140943
389	0.2295536252
390	0.2295027585
391	0.2294540852
392	0.229414645
393	0.2293896702
394	0.2293615359
395	0.2293230242
396	0.2292973933
397	0.2292491634
398	0.2292220392
399	0.2291992518
400	0.2291552799
401	0.229117393
402	0.2290973923
403	0.2290474753
404	0.2290065929
405	0.2289841595
406	0.2289352194
407	0.2289258497
408	0.2288771279
409	0.2288719362
410	0.2288269812
411	0.2287779976
412	0.2287294012
413	0.2286830872
414	0.2286503032
415	0.2286086977
416	0.2285608114
417	0.2285206138
418	0.2284771307
419	0.2284499428
420	0.2283975096
421	0.2283722872
422	0.2283327354
423	0.2282980595
424	0.2282696177
425	0.2282335278
426	0.2282180444
427	0.2281733648
428	0.2281355087
429	0.2281003809
430	0.2280723857
431	0.2280373632
432	0.2279901206
433	0.2279736405
434	0.2279498233
435	0.2279016313
436	0.2278451717
437	0.2278095196
438	0.2277793357
439	0.227731062
440	0.2276984917
441	0.2276590476
442	0.2276136201
443	0.2275780927
444	0.2275361751
445	0.2275184069
446	0.227493369
447	0.2274543389
448	0.2274117489
449	0.2273787145
450	0.227335787
451	0.227298756
452	0.2272694681
453	0.2272314125
454	0.2271731354
455	0.227143468
456	0.2271029801
457	0.2270736418
458	0.2270365346
459	0.2269950464
460	0.2269502229
461	0.2269181274
462	0.2269063698
463	0.2268542196
464	0.2268117211
465	0.2267758578
466	0.226739531
467	0.2267043837
468	0.2266563252
469	0.2266315194
470	0.2266271445
471	0.2266267374
472	0.2265922839
473	0.2265494376
474	0.226525215
475	0.2264876875
476	0.2264432565
477	0.2264226786
478	0.2264133471
479	0.2263792205
480	0.2263397815
481	0.226295299
482	0.2262716369
483	0.226235534
484	0.2262063684
485	0.2261732265
486	0.2261383069
487	0.2260850859
488	0.2260624176
489	0.2260203335
490	0.2259989617
491	0.2259876337
492	0.2259618541
493	0.2259284026
494	0.22588923
495	0.2258511019
496	0.225820938
497	0.225790628
498	0.2257590876
499	0.2257221692
500	0.2256787823
501	0.2256398681
502	0.2256064659
503	0.2255769616
504	0.2255440607
505	0.22550766
506	0.2254773869
507	0.2254559817
508	0.2254154167
509	0.2253826433
510	0.2253427331
511	0.2253004866
512	0.225255271
513	0.225215145
514	0.2251784481
515	0.2251552441
516	0.2251137743
517	0.2250779751
518	0.2250432408
519	0.2250053319
520	0.224974906
521	0.2249435999
522	0.2249074141
523	0.2248755401
524	0.2248432665
525	0.2248159444
526	0.2247899086
527	0.2247406139
528	0.2247053691
529	0.2246688837
530	0.2246279303
531	0.224576494
532	0.2245459681
533	0.2245071997
534	0.2244736857
535	0.2244423862
536	0.2243991249
537	0.2243713376
538	0.2243284863
539	0.2243073527
540	0.2242616765
541	0.2242234281
542	0.2241812487
543	0.2241525406
544	0.2241199839
545	0.2240977427
546	0.2240835209
547	0.2240190294
548	0.2239819756
549	0.2239498079
550	0.2239208472
551	0.2238863451
552	0.2238484458
553	0.2238179027
554	0.2238047372
555	0.2237850327
556	0.2237479612
557	0.223697229
558	0.223665992
559	0.2236119118
560	0.2235717299
561	0.2235407711
562	0.2235138995
563	0.2235048376
564	0.2234832648
565	0.2234417273
566	0.2234104847
567	0.2233835412
568	0.2233369244
569	0.2232940325
570	0.2232724245
571	0.2232720342
572	0.2232400435
573	0.2232053122
574	0.2231721543
575	0.2231096876
576	0.2230899423
577	0.2230400923
578	0.222989101
579	0.2229597748
580	0.2229056199
581	0.2228660418
582	0.222827351
583	0.2228055169
584	0.222773182
585	0.222723161
586	0.2226937812
587	0.222668115
588	0.2226304712
589	0.2225935652
590	0.222588702
591	0.2225718054
592	0.2225396714
593	0.2225016906
594	0.2224598808
595	0.2224353335
596	0.2223939837
597	0.2223606448
598	0.2223197829
599	0.2223029487
600	0.2222481266
601	0.2222120919
602	0.2221535077
603	0.2221223738
604	0.2220757992
605	0.2220508947
606	0.2220065208
607	0.2219646153
608	0.2219463879
609	0.2219231611
610	0.2218977165
611	0.221865723
612	0.2218454401
613	0.2218181527
614	0.2218101888
615	0.2217709579
616	0.2217496296
617	0.2217137147
618	0.2216715727
619	0.2216683085
620	0.2216605753
621	0.2216237104
622	0.2215889731
623	0.2215605385
624	0.221533446
625	0.2214951739
626	0.2214850637
627	0.2214446693
628	0.2214097791
629	0.2214021935
630	0.2213690613
631	0.2213313022
632	0.2212901033
633	0.2212463517
634	0.2212236499
635	0.2211985015
636	0.2211593948
637	0.2211368122
638	0.2211066736
639	0.2210741035
640	0.221048925
641	0.2210020738
642	0.2209646812
643	0.2209304765
644	0.220892777
645	0.220846837
646	0.2207969616
647	0.2207732017
648	0.2207451083
649	0.2207304755
650	0.2207013446
651	0.2206461176
652	0.2205954948
653	0.2205672928
654	0.2205377121
655	0.2205135312
656	0.2204765588
657	0.2204504052
658	0.2204160283
659	0.2203661145
660	0.2203310122
661	0.2203050669
662	0.2202753152
663	0.2202480109
664	0.2202254704
665	0.2201934529
666	0.2201601005
667	0.220126799
668	0.2201032911
669	0.2200850341
670	0.2200464547
671	0.2200070568
672	0.2199804526
673	0.2199571786
674	0.2199174192
675	0.2198943506
676	0.2198634798
677	0.2198329371
678	0.2198138923
679	0.2197789617
680	0.2197343011
681	0.21970585
682	0.2196966705
683	0.2196638634
684	0.2196310753
685	0.2196022176
686	0.2195683301
687	0.2195243007
688	0.2194929897
689	0.2194779253
690	0.219437922
691	0.2194020039
692	0.2193674509
693	0.2193199345
694	0.2192772723
695	0.2192382497
696	0.2192004072
697	0.2191789728
698	0.2191597108
699	0.2191111866
700	0.219075054
701	0.2190436938
702	0.219020559
703	0.2189956017
704	0.2189691016
705	0.2189318753
706	0.218898479
707	0.218862259
708	0.2188422333
709	0.2188050076
710	0.2187715604
711	0.2187382723
712	0.2187170103
713	0.2186830286
714	0.2186610702
715	0.2186220504
716	0.2185702374
717	0.2185402269
718	0.2185032977
719	0.2184877378
720	0.218453964
721	0.2184274871
722	0.218392467
723	0.2183881735
724	0.2183717885
725	0.2183637534
726	0.2183470415
727	0.2183096223
728	0.2182721273
729	0.2182339885
730	0.2181926413
731	0.218161787
732	0.2181209935
733	0.2180856628
734	0.2180556012
735	0.2180323818
736	0.2179907853
737	0.2179543284
738	0.2179138351
739	0.2178722107
740	0.2178404292
741	0.2178102856
742	0.217757053
743	0.2177173139
744	0.2176856893
745	0.2176576107
746	0.2176148588
747	0.2175805514
748	0.2175441489
749	0.2175140765
750	0.2174826199
751	0.2174552307
752	0.2174097024
753	0.2173713225
754	0.2173469876
755	0.2173130083
756	0.2172888193
757	0.21726481
758	0.2172097309
759	0.2171721375
760	0.2171488259
761	0.2171096697
762	0.2170766696
763	0.2170347229
764	0.2169926423
765	0.2169416006
766	0.2169108061
767	0.2168820023
768	0.2168426615
769	0.2168343994
770	0.2167913045
771	0.2167582361
